source_name,event_date,event_title,event_description,location_description,location_accuracy_km,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,event_import_source,latitude,longitude,country_name,admin_division_name,gazetteer_closest_point,gazetteer_distance,year,month,season,severity
International Business Times,2015-03-19,Ratacherra,"Minor landslides were also reported in Tongseng, Ratacherra and Dona areas.",Ratacherra,5.0,landslide,rainfall,1.0,unknown,0.0,GLC,25.0318,92.4584,0,Assam,Chargram,8.67,2015,3,non_monsoon,low
The Economic Times,2017-06-30,Multiple landslides along highway,Landslides along Jammu-Srinagar National Highway triggered by heavy rains. Landslide marked near Nashri tunnel.,"NH-1A, Patnitop, Chenani, Udhampur, Jammu & Kashmir, 182142",1.0,landslide,rainfall,1.0,infrastructure,0.0,GLC,33.08146902,75.29750088,0,Jammu and Kashmir,Udhampur,23.81,2017,6,monsoon,low
The Arunachal Times,2017-07-09,Landslide on Itanagar- Jote-Tapiasso road,"Landslide after weeks of incessant rain in Arunachal Pradesh completely blocks road. Significant enough to be visited by Minister for Urban Development & Housing, Town Planning.","Itanagar- Jote-Tapiasso road, Papum Pare, Arunachal Pradesh",10.0,landslide,rainfall,2.0,infrastructure,0.0,GLC,27.05957271,93.50102778,0,Arunachal Pradesh,Dafla Hills,46.97,2017,7,monsoon,low
The Himalayan Times,2017-06-27,Landslide in Kaskikot,"Destroyed house, blocked one lane of Pokhara-Baglung road, caused 1 injury. Triggered by incessant rainfall around 1:00am.",School,5.0,landslide,rainfall,2.0,infrastructure,0.0,GLC,28.28120123,83.86441477,1,Gandaki,Chanarung,12.64,2017,6,monsoon,low
The Himalayan Times,2016-09-21,Landslide in Khandbari,"girl was also buried to death after being trapped between broken walls, in Khandbari Municipality of Sankhuwasabha district this morning.  Police said Muna Shrestha (6) was buried in the rubble while she was on her way to toilet.  However, the locals had instantly rescued the child, but to no avail, as she died on the way to a hospital, added the District Police Office.","Khandbari, Nepal",5.0,landslide,rainfall,1.0,natural,1.0,GLC,27.340009,87.196504,1,Koshi,Dingla,6.72,2016,9,monsoon,medium
My Republica,2016-07-25,"Phidim-Raanke section of the Mechi Highway at Sandim, Phidim-2, Nepal","Estimated location along road. The Phidim-Raanke section of the Mechi Highway has been blocked since last night after the deposition of rocks and debris on the road due to a landslide at Samdin, Phidim-2.   Dozens of vehicles are stranded due to the blockage. The Nepalese Army and the Armed Police Force personnel have been mobilized to open the road, the District Administration Office, Paanchrthar stated.  The district authorities stated that the road might remain obstructed throughout the day today as it will take time to bring a loader to the place for removing the landslide debris and the boulders.","Phidim-Raanke section of the Mechi Highway at Sandim, Phidim-2, Nepal",10.0,rock_fall,unknown,2.0,infrastructure,0.0,GLC,27.1005,87.7831,1,Mechi,Beteni,2.14,2016,7,monsoon,low
My Republica,2016-08-06,"Landslide in Manma, Nepal",A landslide/rockslide has covered the entire Karnali Highway. The only way to remove the boulders is via heavy machinery (excavators) or using explosions. Traffic on the highway was stopped for two full days.,"Karnali Highway, Near Manma",5.0,rock_fall,unknown,2.0,infrastructure,0.0,GLC,29.139,81.623,1,Karnali,Rupsa,12.53,2016,8,monsoon,low
zeenews.india,2012-06-13,"NH44, Kuliang","Road communication between Guwahati and Silchar has been disrupted following landslides due to heavy rainfall at five places, official sources said here on Wednesday.  Landslides occurred at five places between Malidhor and Kuliang area at Baleswar near Meghalaya on NH 44 since last evening due to which vehicles, including night buses, were stranded. ","NH44, Kuliang",5.0,landslide,rainfall,2.0,unknown,0.0,GLC,25.5498,92.0757,0,Meghalaya,Wahjajer,9.17,2012,6,monsoon,low
Business Standard,2017-06-27,Landslide in Khaliyar area on Mandi-Pathnakot Highway,Heavy rains triggered landslide at several places. The Mandi-Pathankot national highway was blocked for more than four hours due to a landslide near Mandi and many vehicles were stranded. Mandi had 78.2 mm of rain in past day.,"NH-20, Khaliar Area, Mandi, Himachal Pradesh, 175001",1.0,landslide,rainfall,1.0,infrastructure,0.0,GLC,31.72415448,76.93732121,0,Himachal Pradesh,Mandi,1.59,2017,6,monsoon,low
The Kashmir Press,2018-08-13,Chakla Landslide,"A mudslide occurred in Chakla at around 3am on the 13th, burying a family of four in their home in their sleep.","Chakla, Himachal Pradesh, IND",25.0,mudslide,rainfall,2.0,unknown,4.0,GLC,32.02547867,76.16692599,0,Himachal Pradesh,Katnor,7.93,2018,8,monsoon,medium
