objectid,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date
1441,thehimalayantimes,http://www.thehimalayantimes.com/fullNews.php?headline=Blocked+roads+lead+to+food+crunch+in+east&NewsID=294176,3715,1309651200000.0,,Shut down Gaighat-Sanue road sections in Udayapur,"DIKTEL: With vehicular movement obstructed for the past one week due to incessant rains and resulting landslides, eastern hilly districts of Khotang, Bhojpur, Okhaldhunga, Solukhumbu and Udayapur are facing a shortage of foodstuff. Ganesh Shahi, vice-chairman of the Transport Entrepreneurs’ Union Khotang, told this daily that landslips have brough traffic to a halt in Khotang, resulting in losses worth millions.  In Khotang, the monsoon havoc has shut Jayaram-Diktel, Diktel-Lamidanda, Hurlung Jalapa and Diktel-Bhojpur road sections for the past one week. No different is the situation of Bhojpur-Chyandanda, Bhojpur-Leguwa, Satighat-Dingla road sections in Bhojpur, Ghurmi-Okhaldhunga, Okhaldhunga-Rumjatar, Okhaldhunga-Solu in Okhaldhunga and Gaighat-Sanue road sections in Udayapur.  With the roads rendered inoperable, hundreds of passengers have been stranded. Bidur Luitel, chairman of the Transport Entrepreneurs’ Union Khotang, said hundreds of vechicles have been stuck on the roads due",Shut down Gaighat-Sanue road sections in Udayapur,5km,landslide,continuous_rain,medium,unknown,0.0,,,,,GLC,3715,26.8998,86.7014,Nepal,NP,Sagarmatha,Sun  Kosi,32.15,1396310400000.0,
1445,dnaindia,http://www.dnaindia.com/india/report_heavy-showers-trigger-landslides-in-maharashtra-himachal-pradesh_1414542,2099,1279497600000.0,,"road between Jumla and Surkhet, Dailekh and Kalikot districts, Karnali and Bheri provinces","JUMLA, July 26: With its only road to Surkhet blocked by landslides, Jumla has been cut off from the rest of the country, causing fear of food scarcity among villagers.  The 232 km road which connects Jumla with Surkhet has not been cleared even one week after massive landslides blocked vehicular movements. Landslides have caused disturbances to vehicular movements in over a dozen parts of the road.  The road in Dailekh´s Kitti and Kalikot´s Dahikhola, Pili, Sherighat, Sherawada, Rachuli and Bali has been blocked due to landslides. According to police, six trucks loaded with goods have been trapped between massive landslides.","road between Jumla and Surkhet, Dailekh and Kalikot districts, Karnali and Bheri provinces",50km,landslide,monsoon,medium,unknown,0.0,,,,,GLC,2099,29.0399,81.7191,Nepal,NP,Karnali,Dhimni,9.14,1396310400000.0,
1454,The Himalayan Times,http://thehimalayantimes.com/nepal/2-of-single-family-killed-in-tehrathum-landslide/,8677,1444269600000.0,02:00,"Khamlalung 57500, Nepal","Two persons of a single family died and two others were critically injured after a landslide buried a house in khamlalung VDC-6 of Terhathum district in the wee hours of Thursday.  According to the Eastern Regional Police Office, Biratnagar, the deceased have been identified as Lokendra Kurungwang (48) and his son Sangam Kurungwang (8).  Police said that they died on the spot.  The injured have been identified as Kurungwang’s wife Reshma (46) and daughter Sandhya (16).  They are receiving treatment at a local hospital, police informed.","Khamlalung 57500, Nepal",5km,landslide,rain,medium,unknown,2.0,2.0,,,,GLC,8677,27.2625,87.6017,Nepal,NP,Koshi,Libang,18.44,1467916109000.0,
1460,myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=8789,1098,1250550000000.0,23:00,"Amargadhi-5, Dadeldhura","Ganesh Thapa, 3, of Amargadhi-5 also died on the spot while four members of his family were injured when his house collapsed in the landslide on Monday night.","Amargadhi-5, Dadeldhura",25km,landslide,downpour,medium,unknown,1.0,,,,,GLC,1098,29.3083,80.5792,Nepal,NP,Mahakali,Dhindi,10.25,1396310400000.0,
1466,myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=8856,1114,1250726400000.0,,Prithvi Highway at Bandipur-8 in Tanahu district,"Landslide has blocked a section of the Prithvi Highway at Bandipur-8 in Tanahu district, TV channels reported. As a result, travelers have been stranded on either side of the affected spot on Friday. The workers from the Road Department are trying to clear the debris on the highway that connects Kathmandu to the lake city of Pokhara.Incessant rain over the past few weeks have caused havoc. Floods and landslides have killed people and cattle, swept away houses, inundated farms and blocked roads and highways at many places across the country",Prithvi Highway at Bandipur-8 in Tanahu district,5km,landslide,continuous_rain,medium,unknown,0.0,,,,,GLC,1114,27.9504,84.3075,Nepal,NP,Gandaki,Chepe Ghat,20.26,1396310400000.0,
1475,indianexpress,http://www.indianexpress.com/news/N-E-border-dist-cut-off-by-landslides--runs-out-of-supplies/627610,1930,1275264000000.0,,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ","Its only link to the outside world, the Anini-Roing road, having been hit by landslides at several places, Dibang Valley district in eastern Arunachal Pradesh has remained cut off from the rest of the world for more than six weeks now. The district shares 200 km of international border with China.   Heavy rains and landslides have caused extensive damage to the two micro hydel projects in the district at Hawapani and Chini-Afra, both having an installed capacity of 50 KW each. “We are in total darkness as our stock of diesel to run generators have also exhausted,” Jempen informed. With roads to other parts of the district also cut off, there has been no link between Anini and other towns like Aruzo, Italin, Anelih, Mipi and Malini. Assam's flood-prone Lakhimpur district was on Monday hit by the third wave of floods following heavy rainfall in the foothills of the Himalayas in Arunachal Pradesh affecting more than 25,000 people. The rising waters of Ranganadi and Singora rivers, tributa","Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ",50km,landslide,downpour,medium,unknown,0.0,,,,,GLC,1930,28.4298,95.8776,India,IN,Arunachal Pradesh,Ipilin,18.95,1396310400000.0,
1488,Times Now News,https://www.timesnownews.com/india/article/torrential-rain-causes-widespread-damage-in-nagaland/262537,13814,1533009600000.0,,Widespread landslide damage in Nagaland,"Damage of 13 houses has been reported from Naga Hospital Colony, 36 in Pezielietsie colony within Kohima town affecting at least 54 families",the retaining wall near wall near Soul Harvest Church,1km,mudslide,continuous_rain,medium,retaining_wall,,,,,,GLC,,25.67295037,94.10513917,India,IN,Nagaland,Naga Hills,19.32,1586541990000.0,
1491,The Hindu,http://www.thehindu.com/news/cities/Madurai/landslip-at-stone-quarry-kills-three/article8821645.ece?ref=sliderNews,8864,1467849600000.0,,"Blue Metal Quarry, Kondayanpatti, Madurai District, India","Three persons were buried alive in a landslide while drilling holes on a hill at a blue metal quarry at Kondayanpatti near here on Thursday. The deceased were identified as M. Senthil (30), N. Nallaiyan (45), C. Muthuramalingam (45).  The bodies were taken to the Government Rajaji hospital for post-mortem. P. Sudharashan, another worker, suffered fractures on his leg after boulders fell on him.  He has been admitted to a private hospital.          Madurai Superintendent of Police, Vijayendra Bidari, who inspected the spot, said that around eight workers of the quarry were working at a height of 300 feet at the time of the incident.  “They had used compressor to drill holes on the rock for filling chemicals to blast it. However, due to the vibration caused by the drilling, the loose soil above caved in,” he said.  While four people involved in the work managed to run from the scene, earth and boulders fell on three, burying them alive.","Blue Metal Quarry, Kondayanpatti, Madurai District, India",1km,rock_fall,mining,small,mine,3.0,1.0,,http://www.thehindu.com/multimedia/dynamic/02924/07July-Quarry_G_MA_2924553f.jpg,,GLC,8864,10.0545,78.0298,India,IN,Tamil Nadu,Vadippatti,7.15,1468006094000.0,
1494,dailyhunt,https://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/j+k+highway+closed+due+to+landslide+over+100+vehicles+stranded-newsid-98012662,14236,1538081270000.0,unknown,Maroog Landslide,Landslide occurred on the Jammu-Srinagar National Highway at Maroog (Marog) between Banihal and Ramban stranding hundreds of vehicles.,"NH-44, Maroog, Banihal, Ramban, Jammu & Kashmir",1km,landslide,unknown,medium,above_road,,,,,"Although trigger is not stated in article, it is likely due to rain during India's monsoon season.",GLC,,33.26440046,75.18641667,India,IN,Jammu and Kashmir,Chaunkri,17.69,1598474871000.0,
1501,The Tribune,http://www.tribuneindia.com/news/himachal/woman-kids-die-in-theog-house-collapse/111662.html,7285,1437868800000.0,,"Klibi Patwar, Theog",A woman labourer and her two children were buried alive when their makeshift house collapsed following a landslide by incessant rain in Klibi Patwar circle at Theog of Shimla district early this morning while landslides blocked roads at several places in interior areas.,"Klibi Patwar, Theog",5km,landslide,continuous_rain,medium,unknown,3.0,2.0,,,,GLC,7285,31.1263,77.3525,India,IN,Himachal Pradesh,Gannja,26.48,1438023177000.0,
1516,India times,http://timesofindia.indiatimes.com/World/Rest_of_World/14_killed_in_Nepal_due_to_landslides_triggered_by_heavy_downpour/articleshow/2310758.cms,204,1187913600000.0,,"Argha Village, Pyuthan District","multiple events in region, likely within 25 km ","Argha Village, Pyuthan District",25km,landslide,rain,medium,unknown,6.0,,,,,GLC,204,27.9167,83.0833,Nepal,NP,Lumbini,Rajiya,11.23,1396310400000.0,
1519,articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-07-26/mumbai/40813862_1_kalyan-debris-kasara,5187,1374715800000.0,01:00,"Malshej Ghat, Maharashtra","A landslide at MalshejGhat caused due to Thursday's downpour disrupted traffic on National Highway 222. Officials said the key motorway, which connects Kalyan to Nashik, will be cleared in two days. ""Given the terrain, our workers may be able to remove debris only by Saturday. Continuous rain has made our job difficult,"" said a public works department official. Motorists heading towards Nashik are being told to take the Kasara route, while Pune-bound traffic will be routed via Karjat. Following heavy rain, landslide at Malshej Ghat blocked National Highway 222 on Thursday early morning for 48 hours. Due to hills on the one side and deep valley another side the workers are finding it difficult to remove debris. The stones from the hills are so huge that it required it to cut in pieces to remove the debris and it may take 48 hours to complete it. Following the slide, Nashik-bound vehicles from Kalyan were diverted through Kasara. Those headed for Pune from Kalyan were asked to take the K","Malshej Ghat, Maharashtra",5km,rock_fall,downpour,small,unknown,2.0,,,,,GLC,5187,19.3379,73.7767,India,IN,Maharashtra,Harischandra Range,13.93,1396310400000.0,
